Title,Price,Location,Surface,Number_of_Rooms,Floor,Finishing_Condition,Heating,Parking_Space,Balcony_Garden_Terrace,Link,Voivodeship,City
2 pokoje 47m2 po remoncie + garderoba + balkon,415000.0,"ul. Marysińska, Stare Bałuty, Bałuty, Łódź, łódzkie",47.0,2 ,,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/2-pokoje-47m2-po-remoncie-garderoba-balkon-ID4nlGC,Łódzkie,Łódź
Właściciel- Ludwiki DD - WIDOK NA ZIELEŃ - 2x gar,2499000.0,"ul. Ludwiki, Czyste, Wola, Warszawa, mazowieckie",105.0,4 ,2/8,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/wlasciciel-ludwiki-dd-widok-na-zielen-2x-gar-ID4mYBj,Mazowieckie,Warszawa
"Sprzedam mieszkanie 60m2, 2 balkony, garderoba",649000.0,"ul. Londyńska, Gorzów Wielkopolski, lubuskie",60.0,3 ,4/4,do zamieszkania,miejskie,,"balkon, taras",https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-60m2-2-balkony-garderoba-ID4nNUL,Lubuskie,Gorzów Wielkopolski
"Wyjątkowy, duży apartament z antresolą",2108000.0,"Mrzeżyno, Trzebiatów, gryficki, zachodniopomorskie",78.3,3 ,4/4,do wykończenia,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/wyjatkowy-duzy-apartament-z-antresola-ID4nSve,Zachodniopomorskie,gryficki
"2/3-pok. 49,2 m2 w samym sercu Koszalina - Kuncer",450180.0,"ul. Bartosza Głowackiego, Koszalin, zachodniopomorskie",49.2,2 ,2/3,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/2-3-pok-49-2-m2-w-samym-sercu-koszalina-kuncer-ID4jdIf,Zachodniopomorskie,Koszalin
"Zgierz, 60,03m2, parter,",350000.0,"Zgierz, zgierski, łódzkie",60.03,3 ,parter,,,,,https://www.otodom.pl/pl/oferta/zgierz-60-03m2-parter-ID4nWly,Łódzkie,zgierski
3 pokojowe Białogard,220000.0,"ul. Zamoyskiego, Białogard, białogardzki, zachodniopomorskie",48.4,3 ,4/4,do remontu,miejskie,,balkon,https://www.otodom.pl/pl/oferta/3-pokojowe-bialogard-ID4nWlx,Zachodniopomorskie,białogardzki
Mieszkanie 2 pokojowe przy ul. Rosoła,610000.0,"ul. Jana Rosoła, Natolin, Ursynów, Warszawa, mazowieckie",42.0,2 ,8/12,do remontu,,,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-przy-ul-rosola-ID4nWlw,Mazowieckie,Warszawa
Kredyt 2% | 3 Pokoje | Balkon | Garaż | Okazja,649000.0,"Piaseczno, Piaseczno, piaseczyński, mazowieckie",76.4,3 ,3/4,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/kredyt-2-3-pokoje-balkon-garaz-okazja-ID4nWlu,Mazowieckie,piaseczyński
Ułańska City Park,555000.0,"Pogodno, Grunwald, Poznań, wielkopolskie",45.0,2 ,2/4,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/ulanska-city-park-ID4nRbT,Wielkopolskie,Poznań
